Clade,Crown age (MY),best model dysploidy rate,best model polyploidy rate,best model loss rate,best model gain rate
Acanthaceae,36.72,0.879986,0.016894,0.844209,0.035777
Actinidiaceae,68.40,0.002666,0.026715,0.002666,0.000000
Adoxaceae,75.39,0.010869,0.008697,0.003678,0.007191
Aizoaceae,42.78,0.006529,0.087440,0.000000,0.006529
Alismataceae,56.62,0.015127,0.018658,0.010631,0.004497
Alstroemeriaceae,67.53,0.009187,0.000000,0.009187,0.000000
Amaranthaceae,38.45,0.027968,0.052884,0.020384,0.007584
Amaryllidaceae,67.47,0.037461,0.060098,0.024583,0.012879
Anacardiaceae,59.10,0.036619,0.009503,0.036619,0.000000
Annonaceae,45.50,0.021948,0.014358,0.011819,0.010129
Apiaceae,71.45,0.068794,0.014205,0.065560,0.003234
Apocynaceae,37.61,0.183241,0.024185,0.151064,0.032176
Aquifoliaceae,65.83,0.071415,0.009186,0.071415,0.000000
Araceae,123.18,0.025642,0.021397,0.017214,0.008428
Araliaceae,65.50,0.001599,0.020235,0.001599,0.000000
Aristolochiaceae,121.05,0.011312,0.004122,0.003642,0.007669
Asparagaceae,70.69,0.032230,0.039043,0.018950,0.013280
Asteraceae,45.74,0.255970,0.172832,0.176819,0.079151
Balsaminaceae,41.84,0.025291,0.012279,0.025291,0.000000
Begoniaceae,37.00,0.656006,0.019554,0.179145,0.476861
Berberidaceae,117.27,0.004791,0.001720,0.000000,0.004791
Betulaceae,27.28,0.008627,0.058854,0.000000,0.008627
Bignoniaceae,24.83,0.061320,0.066078,0.051930,0.009391
Boraginaceae,55.80,0.128259,0.049270,0.059676,0.068584
Brassicaceae,60.75,0.208239,0.234889,0.157360,0.050879
Bromeliaceae,55.39,0.033719,0.041694,0.021988,0.011731
Bruniaceae,76.24,0.219022,0.018098,0.000000,0.219022
Cactaceae,21.06,0.000000,0.120356,0.000000,0.000000
Calceolariaceae,26.63,0.025744,0.023704,0.025744,0.000000
Campanulaceae,52.97,0.063884,0.075141,0.058804,0.005080
Cannabaceae,47.74,0.017227,0.025302,0.015842,0.001384
Caprifoliaceae,65.60,0.016931,0.031856,0.013989,0.002942
Caryophyllaceae,50.60,0.161639,0.118048,0.087952,0.073687
Casuarinaceae,32.14,0.267858,0.018187,0.000000,0.267858
Celastraceae,67.74,0.026202,0.022157,0.024851,0.001351
Cistaceae,36.87,0.012677,0.027514,0.000000,0.012677
Cleomaceae,65.30,0.025810,0.007775,0.025810,0.000000
Clusiaceae,68.75,0.055220,0.007635,0.023060,0.032159
Colchicaceae,84.17,0.085334,0.005770,0.085334,0.000000
Combretaceae,65.47,0.019652,0.014612,0.006446,0.013206
Commelinaceae,73.88,0.285673,0.035622,0.095793,0.189880
Convolvulaceae,54.15,0.044628,0.042907,0.014632,0.029997
Cornaceae,65.42,0.007862,0.001585,0.005984,0.001878
Costaceae,50.05,0.004026,0.012136,0.004026,0.000000
Crassulaceae,70.27,0.095057,0.092797,0.048633,0.046423
Cucurbitaceae,68.36,0.122429,0.019814,0.122429,0.000000
Cyperaceae,36.28,5.488550,0.155387,2.756330,2.732220
Dioscoreaceae,105.18,0.020943,0.033673,0.014840,0.006103
Dipterocarpaceae,41.00,0.005176,0.017311,0.005176,0.000000
Droseraceae,55.76,0.025072,0.073328,0.000000,0.025072
Ebenaceae,58.79,0.001688,0.011866,0.000000,0.001688
Ericaceae,62.05,0.022625,0.042608,0.007992,0.014633
Euphorbiaceae,99.39,0.085265,0.030793,0.047193,0.038072
Fabaceae,69.14,0.044283,0.024600,0.030921,0.013361
Fagaceae,40.41,0.118545,0.000000,0.087600,0.030945
Gentianaceae,29.65,1.598916,0.162028,0.814134,0.784782
Geraniaceae,73.73,0.042986,0.026943,0.036030,0.006957
Gesneriaceae,37.39,0.148433,0.021426,0.032755,0.115679
Goodeniaceae,56.05,0.002330,0.009220,0.002330,0.000000
Grossulariaceae,45.39,0.000000,0.000000,0.000000,0.000000
Haemodoraceae,46.76,0.027158,0.015892,0.000000,0.027158
Haloragaceae,47.94,0.013026,0.039493,0.012175,0.000851
Hamamelidaceae,95.28,0.001499,0.017240,0.000000,0.001499
Hydrangeaceae,63.79,0.032751,0.015052,0.032751,0.000000
Hydrocharitaceae,53.43,0.101068,0.031991,0.014497,0.086571
